Actual,Error,Predicted
2499000,-7929.7536288491665,-2506929.753628849
2499000,-7602.7462622660505,-2506602.746262266
2499000,-7143.877963888351,-2506143.8779638885
2499000,-5135.185387883448,-2504135.1853878833
2499000,-7598.950541931108,-2506598.950541931
2499000,-8530.282909144276,-2507530.282909144
2498888,-6995.7092169027155,-2505883.7092169025
2498000,-7872.158244952885,-2505872.158244953
2498000,-7201.881508250853,-2505201.8815082507
2498000,-7598.48497933685,-2505598.484979337
2496000,-6875.845981519145,-2502875.845981519
2495000,-8078.934254107419,-2503078.9342541075
2495000,-7676.699447760666,-2502676.699447761
2495000,-8504.78778876378,-2503504.7877887636
2495000,-7242.094369825223,-2502242.0943698254
2495000,-7271.309194091715,-2502271.3091940917
2495000,-7438.561895050431,-2502438.5618950506
2495000,-8461.284300221845,-2503461.284300222
2495000,-8021.201410253885,-2503021.201410254
2495000,-7324.067918118396,-2502324.0679181186
2495000,-6420.4595503027185,-2501420.459550303
2495000,-6420.258413623879,-2501420.258413624
2495000,-7008.318495817697,-2502008.3184958175
2495000,-7321.075342658881,-2502321.075342659
2495000,-7699.551261078293,-2502699.551261078
2495000,-7641.659795512929,-2502641.659795513
2495000,-8003.582540903804,-2503003.5825409037
2495000,-8082.3242317482545,-2503082.3242317485
2495000,-7802.135603163593,-2502802.1356031634
2495000,-8608.597163920234,-2503608.5971639203
2490000,-7525.215156463217,-2497525.2151564634
2489000,-8088.409946580083,-2497088.40994658
2489000,-8088.409946580083,-2497088.40994658
2489000,-7901.120354272901,-2496901.120354273
2489000,-8628.583679026979,-2497628.583679027
2489000,-8779.174331317985,-2497779.174331318
2480000,-6581.25777740425,-2486581.257777404
2480000,-8890.303162333426,-2488890.3031623336
2475000,-7507.395257337654,-2482507.3952573375
2450000,-5930.397619007809,-2455930.3976190076
2450000,-6484.664584137442,-2456484.6645841375
2450000,-6835.404181226237,-2456835.404181226
